"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Morgantown, WV","34060",2019,90,88,2,0,0,0,0,52,43,15,0,0,28,43,19,0
"Morristown, TN","34100",2019,31,25,6,0,0,0,0,74,58,44,0,0,31,0,0,0
"Moses Lake, WA","34180",2019,31,31,0,0,0,0,0,44,36,21,0,0,0,0,31,0
"Mount Vernon, IL","34500",2019,70,53,17,0,0,0,0,74,55,44,0,0,20,0,50,0
"Mount Vernon, OH","34540",2019,30,28,2,0,0,0,0,51,50,44,0,0,30,0,0,0
"Mount Vernon-Anacortes, WA","34580",2019,31,30,1,0,0,0,0,53,35,21,0,0,0,0,31,0
"Muncie, IN","34620",2019,97,87,10,0,0,0,0,68,52,33,0,0,70,0,27,0
"Muscatine, IA","34700",2019,120,89,31,0,0,0,0,87,65,34,0,0,0,5,115,0
"Muskogee, OK","34780",2019,90,78,11,1,0,0,0,110,58,18,0,0,0,0,0,90
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820",2019,90,71,18,1,0,0,0,101,62,31,0,0,42,48,0,0
"Napa, CA","34900",2019,60,54,6,0,0,0,0,71,52,34,1,0,38,0,21,0
"Nashville-Davidson--Murfreesboro--Franklin, TN","34980",2019,90,71,19,0,0,0,0,74,55,40,0,3,22,0,65,0
"New Castle, IN","35220",2019,40,34,6,0,0,0,0,63,54,28,0,0,0,0,40,0
"New Orleans-Metairie, LA","35380",2019,121,75,46,0,0,0,0,87,64,47,1,2,59,12,47,0
"New York-Newark-Jersey City, NY-NJ-PA","35620",2019,91,70,21,0,0,0,0,91,61,44,1,22,34,1,33,0
"Nogales, AZ","35700",2019,90,52,37,1,0,0,0,120,68,41,0,0,0,0,67,23
"Ogden-Clearfield, UT","36260",2019,121,95,24,2,0,0,0,121,67,44,1,18,79,0,23,0
"Ogdensburg-Massena, NY","36300",2019,90,56,31,3,0,0,0,104,89,37,0,0,0,90,0,0
"Oklahoma City, OK","36420",2019,91,44,47,0,0,0,0,84,68,51,1,0,25,0,64,1
"Olympia-Tumwater, WA","36500",2019,31,19,12,0,0,0,0,71,66,45,0,0,0,0,31,0
"Omaha-Council Bluffs, NE-IA","36540",2019,120,76,44,0,0,0,0,86,69,45,0,0,53,8,58,1
"Othello, WA","36830",2019,31,31,0,0,0,0,0,37,23,11,0,0,0,0,31,0
"Ottawa-Peru, IL","36860",2019,86,86,0,0,0,0,0,36,4,0,0,0,0,86,0,0
"Owensboro, KY","36980",2019,11,9,2,0,0,0,0,57,54,31,0,0,0,0,11,0
"Oxnard-Thousand Oaks-Ventura, CA","37100",2019,90,80,10,0,0,0,0,93,53,40,0,0,75,0,14,1
"Paducah, KY-IL","37140",2019,16,15,1,0,0,0,0,51,41,30,0,0,0,0,10,6
"Panama City, FL","37460",2019,90,83,7,0,0,0,0,84,49,37,0,0,64,0,26,0
"Parkersburg-Vienna, WV","37620",2019,90,87,3,0,0,0,0,60,44,18,0,0,26,45,19,0
"Payson, AZ","37740",2019,90,43,29,12,6,0,0,187,125,51,0,0,47,43,0,0
"Peoria, IL","37900",2019,90,64,26,0,0,0,0,71,59,43,0,0,22,1,67,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2019,121,94,27,0,0,0,0,93,64,43,1,4,76,0,40,0
"Phoenix-Mesa-Scottsdale, AZ","38060",2019,91,46,45,0,0,0,0,92,71,50,1,0,52,0,30,8
"Pittsburgh, PA","38300",2019,91,34,48,6,3,0,0,161,86,54,1,0,14,17,59,0
"Pittsfield, MA","38340",2019,59,53,6,0,0,0,0,66,51,36,0,0,41,0,18,0
