lat,lng,date,time,PM25,index
44.3069,-88.3956,6/18/2019,19:00,38,181
40.4656,-79.9611,6/18/2019,19:00,38,182
35.9889,-77.5867,6/18/2019,19:00,38,183
39.305199,-75.797203,6/18/2019,19:00,38,184
39.7394,-75.5581,6/18/2019,19:00,38,185
39.46487,-74.448738,6/18/2019,19:00,38,186
37.9383,-122.025,6/18/2019,19:00,37,187
41.658195,-91.503471,6/18/2019,19:00,37,188
39.787933,-86.13088,6/18/2019,19:00,37,189
36.0261,-80.3419,6/18/2019,19:00,37,190
39.8344,-75.7678,6/18/2019,19:00,37,191
39.422272,-75.0252,6/18/2019,19:00,37,192
40.7269,-73.8933,6/18/2019,19:00,37,193
-1.253111,36.85653,6/18/2019,19:00,37,194
39.150478,-123.206528,6/18/2019,19:00,36,195
38.494475,-121.211131,6/18/2019,19:00,36,196
39.52507,-119.807744,6/18/2019,19:00,36,197
32.67618,-115.48307,6/18/2019,19:00,36,198
47.17563,-113.476182,6/18/2019,19:00,36,199
47.494318,-111.303317,6/18/2019,19:00,36,200
41.823101,-90.211899,6/18/2019,19:00,36,201
42.9533,-82.4564,6/18/2019,19:00,36,202
41.726811,-81.242156,6/18/2019,19:00,36,203
37.864767,-122.302741,6/18/2019,19:00,35,204
37.8148,-122.282402,6/18/2019,19:00,35,205
37.743061,-122.169907,6/18/2019,19:00,35,206
39.18919,-121.99887,6/18/2019,19:00,35,207
36.999571,-121.574684,6/18/2019,19:00,35,208
38.568374,-121.493254,6/18/2019,19:00,35,209
39.808334,-120.471664,6/18/2019,19:00,35,210
34.4044,-118.81,6/18/2019,19:00,35,211
42.607817,-113.786817,6/18/2019,19:00,35,212
32.0036,-106.5992,6/18/2019,19:00,35,213
38.848,-104.8286,6/18/2019,19:00,35,214
33.1944,-97.1933,6/18/2019,19:00,35,215
35.7197,-84.3417,6/18/2019,19:00,35,216
35.6075,-82.5833,6/18/2019,19:00,35,217
27.779712,-82.419835,6/18/2019,19:00,35,218
27.0892,-82.3625,6/18/2019,19:00,35,219
30.62673,-81.53597,6/18/2019,19:00,35,220
40.800717,-81.373,6/18/2019,19:00,35,221
35.5,-78.4375,6/18/2019,19:00,35,222
39.9233,-77.3081,6/18/2019,19:00,35,223
42.120248,-72.58499,6/18/2019,19:00,35,224
42.612113,-71.307519,6/18/2019,19:00,35,225
47.363195,-68.322302,6/18/2019,19:00,35,226
38.937801,-121.103897,6/18/2019,19:00,34,227
46.842297,-114.020549,6/18/2019,19:00,34,228
33.565278,-86.796389,6/18/2019,19:00,34,229
42.984699,-85.671097,6/18/2019,19:00,34,230
33.7206,-84.3578,6/18/2019,19:00,34,231
35.7683,-83.9422,6/18/2019,19:00,34,232
30.4758,-81.5869,6/18/2019,19:00,34,233
42.194401,-72.555603,6/18/2019,19:00,34,234
32.789561,-116.944222,6/18/2019,19:00,33,235
44.104498,-115.972386,6/18/2019,19:00,33,236
47.012907,-114.224273,6/18/2019,19:00,33,237
48.363694,-114.189272,6/18/2019,19:00,33,238
51.0814,-114.1403,6/18/2019,19:00,33,239
38.1761,-89.7883,6/18/2019,19:00,33,240
38.088902,-88.625,6/18/2019,19:00,33,241
33.4997,-86.9242,6/18/2019,19:00,33,242
34.6917,-86.591698,6/18/2019,19:00,33,243
28.0903,-82.7008,6/18/2019,19:00,33,244
42.974461,-81.200858,6/18/2019,19:00,33,245
43.1403,-80.2961,6/18/2019,19:00,33,246
40.8142,-79.565,6/18/2019,19:00,33,247
38.895683,-76.958089,6/18/2019,19:00,33,248
39.055302,-76.878304,6/18/2019,19:00,33,249
39.9653,-76.6994,6/18/2019,19:00,33,250
39.41,-76.2967,6/18/2019,19:00,33,251
40.694401,-73.928596,6/18/2019,19:00,33,252
45.539928,-73.540388,6/18/2019,19:00,33,253
17.896122,102.64,6/18/2019,19:00,33,254
44.261694,-116.979172,6/18/2019,19:00,32,255
39.7386,-104.9394,6/18/2019,19:00,32,256
29.423933,-98.580505,6/18/2019,19:00,32,257
41.526885,-88.116474,6/18/2019,19:00,32,258
33.5453,-86.5492,6/18/2019,19:00,32,259
36.5408,-82.5217,6/18/2019,19:00,32,260
42.4033,-82.2086,6/18/2019,19:00,32,261
39.114399,-77.106903,6/18/2019,19:00,32,262
45.512189,-73.566872,6/18/2019,19:00,32,263
38.102507,-122.237976,6/18/2019,19:00,31,264
39.53387,-122.190834,6/18/2019,19:00,31,265
38.20185,-120.680277,6/18/2019,19:00,31,266
34.21,-118.8694,6/18/2019,19:00,31,267
32.565,-96.3175,6/18/2019,19:00,31,268
29.7339,-95.2575,6/18/2019,19:00,31,269
37.0581,-88.5725,6/18/2019,19:00,31,270
42.93257,-87.93434,6/18/2019,19:00,31,271
39.7889,-86.2147,6/18/2019,19:00,31,272
30.8475,-85.6044,6/18/2019,19:00,31,273
41.0604,-81.9239,6/18/2019,19:00,31,274
30.1358,-81.6339,6/18/2019,19:00,31,275
35.2411,-80.7831,6/18/2019,19:00,31,276
42.6425,-73.7547,6/18/2019,19:00,31,277
45.651722,-73.573896,6/18/2019,19:00,31,278
23.116785,113.318088,6/18/2019,19:00,31,279
37.701222,-121.903019,6/18/2019,19:00,30,280
38.53455,-121.7734,6/18/2019,19:00,30,281
34.942872,-120.435611,6/18/2019,19:00,30,282
33.792221,-118.175278,6/18/2019,19:00,30,283
48.607406,-112.363842,6/18/2019,19:00,30,284
33.503601,-112.095001,6/18/2019,19:00,30,285
41.842778,-111.85194,6/18/2019,19:00,30,286
50.45,-104.6169,6/18/2019,19:00,30,287
40.970001,-95.044998,6/18/2019,19:00,30,288
39.1175,-94.6356,6/18/2019,19:00,30,289
35.9386,-84.5439,6/18/2019,19:00,30,290
34.91263,-80.874283,6/18/2019,19:00,30,291
26.724167,-80.663055,6/18/2019,19:00,30,292
35.9919,-78.8964,6/18/2019,19:00,30,293
38.076599,-78.503998,6/18/2019,19:00,30,294
38.921848,-77.013176,6/18/2019,19:00,30,295
40.246992,-76.846988,6/18/2019,19:00,30,296
38.5876,-76.1408,6/18/2019,19:00,30,297
39.5511,-75.7308,6/18/2019,19:00,30,298
38.3525,-121.9617,6/18/2019,19:00,29,299
34.669589,-118.130689,6/18/2019,19:00,29,300
33.5694,-112.1915,6/18/2019,19:00,29,301
40.598056,-111.894167,6/18/2019,19:00,29,302
31.7878,-106.6828,6/18/2019,19:00,29,303
41.133317,-95.956078,6/18/2019,19:00,29,304
29.7639,-90.7653,6/18/2019,19:00,29,305
26.054047,-80.257608,6/18/2019,19:00,29,306
43.6619,-79.3853,6/18/2019,19:00,29,307
38.771702,-77.108902,6/18/2019,19:00,29,308
44.219867,-76.521128,6/18/2019,19:00,29,309
46.2406,-63.1306,6/18/2019,19:00,29,310
19.717562,-155.110535,6/18/2019,19:00,28,311
38.6619,-121.7278,6/18/2019,19:00,28,312
39.13868,-121.61884,6/18/2019,19:00,28,313
33.4033,-112.0731,6/18/2019,19:00,28,314
31.768056,-106.501111,6/18/2019,19:00,28,315
46.743889,-92.166946,6/18/2019,19:00,28,316
40.0439,-76.1125,6/18/2019,19:00,28,317
40.3833,-75.9686,6/18/2019,19:00,28,318
39.701099,-75.860001,6/18/2019,19:00,28,319
45.4322,-75.6764,6/18/2019,19:00,28,320
41.171398,-73.195297,6/18/2019,19:00,28,321
41.840302,-71.361702,6/18/2019,19:00,28,322
42.7708,-71.1028,6/18/2019,19:00,28,323
46.002399,-112.500893,6/18/2019,19:00,27,324
44.657014,-111.089618,6/18/2019,19:00,27,325
32.322573,-111.037709,6/18/2019,19:00,27,326
