lat,lng,date,PM25
34.632999,-98.428802,2019-06-17T17:00,18
30.3542,-97.760002,2019-06-17T17:00,20
35.502968,-97.577674,2019-06-17T17:00,19
35.32,-97.4883,2019-06-17T17:00,21
34.256901,-97.474197,2019-06-17T17:00,14
35.612801,-97.472198,2019-06-17T17:00,18
32.7592,-97.3414,2019-06-17T17:00,28
37.7011,-97.3139,2019-06-17T17:00,12
33.1944,-97.1933,2019-06-17T17:00,26
36.697189,-97.081278,2019-06-17T17:00,13
31.6531,-97.0706,2019-06-17T17:00,20
32.482081,-97.026922,2019-06-17T17:00,25
44.348604,-96.807299,2019-06-17T17:00,6
43.54792,-96.700768,2019-06-17T17:00,20
40.812558,-96.675733,2019-06-17T17:00,25
32.0319,-96.3992,2019-06-17T17:00,21
32.565,-96.3175,2019-06-17T17:00,25
35.9525,-96.0033,2019-06-17T17:00,27
36.206699,-95.976402,2019-06-17T17:00,20
41.2474,-95.9731,2019-06-17T17:00,15
44.4572,-95.835,2019-06-17T17:00,12
34.906082,-95.794128,2019-06-17T17:00,20
36.918242,-95.632127,2019-06-17T17:00,11
30.3503,-95.425,2019-06-17T17:00,15
29.7339,-95.2575,2019-06-17T17:00,36
29.670025,-95.128508,2019-06-17T17:00,21
40.970001,-95.044998,2019-06-17T17:00,15
29.5831,-95.0156,2019-06-17T17:00,17
39.741667,-94.858333,2019-06-17T17:00,30
36.922222,-94.83889,2019-06-17T17:00,15
38.8386,-94.7464,2019-06-17T17:00,24
43.123299,-94.693298,2019-06-17T17:00,36
35.750599,-94.669701,2019-06-17T17:00,-999
39.1175,-94.6356,2019-06-17T17:00,23
38.75961,-94.57983,2019-06-17T17:00,23
39.10465,-94.57055,2019-06-17T17:00,28
39.047911,-94.450513,2019-06-17T17:00,29
39.303056,-94.376389,2019-06-17T17:00,22
32.6706,-94.1681,2019-06-17T17:00,30
36.1797,-94.1167,2019-06-17T17:00,23
37.70097,-94.03474,2019-06-17T17:00,12
45.2108,-93.6686,2019-06-17T17:00,24
41.6031,-93.643303,2019-06-17T17:00,49
44.789398,-93.512497,2019-06-17T17:00,27
37.256069,-93.299692,2019-06-17T17:00,7
44.706123,-93.285803,2019-06-17T17:00,28
44.9536,-93.2581,2019-06-17T17:00,28
44.9653,-93.2551,2019-06-17T17:00,21
44.7383,-93.2372,2019-06-17T17:00,31
45.1425,-93.2139,2019-06-17T17:00,24
44.9594,-93.0356,2019-06-17T17:00,37
33.215,-92.6689,2019-06-17T17:00,30
43.9947,-92.4497,2019-06-17T17:00,21
42.5014,-92.315804,2019-06-17T17:00,14
34.7561,-92.2758,2019-06-17T17:00,27
30.2258,-92.042801,2019-06-17T17:00,25
40.693298,-92.006104,2019-06-17T17:00,25
41.9767,-91.6878,2019-06-17T17:00,11
41.658195,-91.503471,2019-06-17T17:00,24
44.761398,-91.413002,2019-06-17T17:00,25
43.7781,-91.225,2019-06-17T17:00,17
30.4622,-91.1769,2019-06-17T17:00,24
41.4014,-91.0684,2019-06-17T17:00,19
30.315,-90.8114,2019-06-17T17:00,41
29.7639,-90.7653,2019-06-17T17:00,37
33.750833,-90.734167,2019-06-17T17:00,15
42.692131,-90.696373,2019-06-17T17:00,25
45.2039,-90.6,2019-06-17T17:00,16
41.529999,-90.587502,2019-06-17T17:00,30
41.5144,-90.5172,2019-06-17T17:00,19
38.448581,-90.398436,2019-06-17T17:00,37
38.650259,-90.350463,2019-06-17T17:00,68
39.101439,-90.344494,2019-06-17T17:00,77
38.631057,-90.281144,2019-06-17T17:00,43
